"PVD* ","NAME ","ADDRESS ","CITY ","ZIP ",
"05-11 ","KENTON SCHOOL ","265 S MAIN ST ","KENTON ","19955 ",
"06-11 ","HARTLY FIRE HALL ","2898 ARTHURSVILLE RD ","HARTLY ","19953 ",
"07-11 ","KENTON RURITAN CLUB ","249 S MAIN ST ","KENTON ","19955 ",
"08-11 ","HARTLY FIRE HALL ","2898 ARTHURSVILLE RD ","HARTLY ","19953 ",
"09-11 ","MARYDEL FIRE HALL ","110 FIREHOUSE LN ","MARYDEL ","19964 ",
"10-11 ","FRED FIFER MIDDLE SCHOOL ","109 E CAM-WYO AVE ","CAM-WYO ","19934 ",
"01-28 ","SMYRNA MIDDLE SCHOOL ","700 DUCK CREEK PKWY ","SMYRNA ","19977 ",
"02-28 ","LEVIN CENTER ","27 N MAIN ST ","SMYRNA ","19977 ",
"03-28 ","CITIZENS HOSE FIRE CO 1 ","103 W COMMERCE ST ","SMYRNA ","19977 ",
"04-28 ","SUNNYSIDE ELEM SCHOOL ","123 RABBIT CHASE LN ","SMYRNA ","19977 ",
"05-28 ","SUNNYSIDE ELEM SCHOOL ","123 RABBIT CHASE LN ","SMYRNA ","19977 ",
"06-28 ","CITIZENS HOSE FIRE CO 1 ","103 W COMMERCE ST ","SMYRNA ","19977 ",
"07-28 ","LEIPSIC FIRE HALL ","318 MAIN ST ","DOVER ","19901 ",
"08-28 ","LEIPSIC FIRE HALL ","318 MAIN ST ","DOVER ","19901 ",
"09-28 ","DEL TECH CORP TRAINING CENTER ","400 CAMPUS DR ","DOVER ","19904 ",
"10-28 ","TOWNE POINT ELEM SCHOOL ","629 BUCKSON DR ","DOVER ","19901 ",
"11-28 ","LITTLE CREEK FIRE HALL ","311 MAIN ST ","LITTLE CREEK ","19961 ",
"12-28 ","SUNNYSIDE ELEM SCHOOL ","123 RABBIT CHASE LN ","SMYRNA ","19977 ",
"13-28 ","LEIPSIC FIRE HALL ","318 MAIN ST ","DOVER ","19901 ",
"14-28 ","LEIPSIC FIRE HALL ","318 MAIN ST ","DOVER ","19901 ",
"01-29 ","CLAYTON FIRE HALL ","300 EAST ST ","CLAYTON ","19938 ",
"02-29 ","CLAYTON FIRE HALL ","300 EAST ST ","CLAYTON ","19938 ",
"03-29 ","CHESWOLD FIRE HALL ","371 MAIN ST ","CHESWOLD ","19936 ",
"04-29 ","CHESWOLD FIRE HALL ","371 MAIN ST ","CHESWOLD ","19936 ",
"05-29 ","CHESWOLD FIRE HALL ","371 MAIN ST ","CHESWOLD ","19936 ",
"06-29 ","CHESWOLD FIRE HALL ","371 MAIN ST ","CHESWOLD ","19936 ",
"07-29 ","DEL TECH CORP TRAINING CNTR ","400 CAMPUS DR ","DOVER ","19904 ",
"08-29 ","STATE FIRE SCHOOL ","1461 CHESTNUT GROVE RD ","DOVER ","19904 ",
"09-29 ","FRED FIFER MIDDLE SCHOOL ","109 E CAM-WYO AVE ","CAM-WYO ","19934 ",
"10-29 ","FRED FIFER MIDDLE SCHOOL ","109 E CAM-WYO AVE ","CAM-WYO ","19934 ",
"11-29 ","STATE FIRE SCHOOL ","1461 CHESTNUT GROVE RD ","DOVER ","19904 ",
